race,age,sexe,sterilise,poids,region,freq_soins,cout_moyen
Yorkshire,12.0,M,1,3.3,Hauts-de-France,0,652.75
Berger Allemand,9.2,F,1,32.0,Hauts-de-France,1,289.09
Croisé,0.8,M,1,19.2,Auvergne-Rhône-Alpes,1,230.62
Rottweiler,1.2,M,1,40.9,Île-de-France,2,383.35
Labrador,13.7,F,0,30.9,Nouvelle-Aquitaine,1,492.92
Beagle,8.8,F,0,17.0,Hauts-de-France,1,208.54
Croisé,4.5,M,1,23.2,Île-de-France,0,45.37
Teckel,3.4,F,1,6.4,Île-de-France,2,84.04
Beagle,10.2,F,1,14.7,Occitanie,4,144.49
Husky,0.9,M,0,24.5,Île-de-France,1,287.0
Teckel,3.4,M,0,8.4,Occitanie,3,158.18
Golden Retriever,13.4,M,0,27.4,Nouvelle-Aquitaine,2,106.78
Teckel,6.6,M,1,6.8,Auvergne-Rhône-Alpes,0,146.96
Rottweiler,6.4,F,1,47.7,Nouvelle-Aquitaine,0,922.12
Beagle,1.0,M,1,17.3,Nouvelle-Aquitaine,0,320.13
Bouledogue français,8.2,F,1,11.5,Nouvelle-Aquitaine,0,69.01
Berger Allemand,9.7,F,0,31.5,Île-de-France,1,913.97
Golden Retriever,0.7,M,1,34.1,Nouvelle-Aquitaine,1,152.34
Chihuahua,10.3,M,0,3.7,Autres,2,163.69
Chihuahua,1.8,F,1,3.2,Occitanie,0,259.69
Golden Retriever,13.4,F,1,26.9,Nouvelle-Aquitaine,0,474.44
Bouledogue français,7.5,M,1,10.7,Île-de-France,1,82.0
Beagle,12.8,M,0,14.9,Nouvelle-Aquitaine,2,344.74
Beagle,9.7,F,0,15.1,Île-de-France,2,144.0
Chihuahua,1.1,F,1,3.4,Hauts-de-France,1,209.17
Croisé,12.9,M,0,14.2,Île-de-France,1,544.54
Beagle,1.5,F,1,15.2,Autres,1,80.03
Rottweiler,10.7,F,1,37.0,Auvergne-Rhône-Alpes,5,783.11
Croisé,13.4,M,0,23.4,Auvergne-Rhône-Alpes,2,428.95
Husky,12.4,F,1,28.6,Hauts-de-France,2,222.02
Golden Retriever,6.5,M,1,33.0,Nouvelle-Aquitaine,0,309.12
Husky,1.6,M,0,26.0,Autres,3,184.41
Rottweiler,10.1,M,1,40.6,Hauts-de-France,3,283.02
Rottweiler,5.5,F,0,36.4,Île-de-France,2,281.33
Berger Allemand,6.3,F,1,40.8,Nouvelle-Aquitaine,0,1008.32
Chihuahua,8.3,M,0,2.4,Auvergne-Rhône-Alpes,0,274.96
Bouledogue français,8.8,M,1,12.2,Occitanie,4,119.42
Labrador,9.5,M,0,26.9,Hauts-de-France,1,243.16
Berger Allemand,5.6,M,1,39.5,Nouvelle-Aquitaine,2,1122.6
Labrador,6.5,F,0,21.6,Autres,1,529.98
Chihuahua,8.2,F,1,3.4,Autres,1,113.78
Golden Retriever,8.8,M,0,36.7,Hauts-de-France,1,1080.89
